"time","zeta_TOT[1]","zeta_TOT[2]","zeta_TOT[3]","rho","input_mdot[1]","input_mdot[2]","input_mdot[3]","input_dp[1]","input_dp[2]","input_dp[3]","M_FLOW[1]","M_FLOW[2]","M_FLOW[3]","DP[1]","DP[2]","DP[3]","DP_plot[1]","DP_plot[2]","DP_plot[3]","input_DP.y"
0.0092,0.01,0.1,1,1.2,0.959326354139518,0.303365629850618,0.0959326354139518,62.1644,62.1644,62.1644,0.959326354139518,0.303365629850618,0.0959326354139517,62.1644,62.1644,62.1644,62.1644,62.1644,62.1644,62.1644
0.0093,0.01,0.1,1,1.2,0.964525993059463,0.305009900050366,0.0964525993059463,62.8401,62.8401,62.8401,0.964525993059463,0.305009900050366,0.0964525993059463,62.8401,62.8401,62.8401,62.8401,62.8401,62.8401,62.8401
0.0094,0.01,0.1,1,1.2,0.969697751275142,0.30664535359729,0.0969697751275142,63.5158,63.5158,63.5158,0.969697751275142,0.30664535359729,0.0969697751275142,63.5158,63.5158,63.5158,63.5158,63.5158,63.5158,63.5158
0.0095,0.01,0.1,1,1.2,0.974842072527028,0.308272130814446,0.0974842072527028,64.1915,64.1915,64.1915,0.974842072527028,0.308272130814446,0.0974842072527028,64.1915,64.1915,64.1915,64.1915,64.1915,64.1915,64.1915
0.0096,0.01,0.1,1,1.2,0.979959388908293,0.309890368341695,0.0979959388908293,64.8672,64.8672,64.8672,0.979959388908293,0.309890368341695,0.0979959388908293,64.8672,64.8672,64.8672,64.8672,64.8672,64.8672,64.8672
0.0097,0.01,0.1,1,1.2,0.985050121288374,0.311500199269638,0.0985050121288374,65.5429,65.5429,65.5429,0.985050121288374,0.311500199269638,0.0985050121288374,65.5429,65.5429,65.5429,65.5429,65.5429,65.5429,65.5429
0.0098,0.01,0.1,1,1.2,0.990114679716932,0.313101753267363,0.0990114679716932,66.2186,66.2186,66.2186,0.990114679716933,0.313101753267363,0.0990114679716932,66.2186,66.2186,66.2186,66.2186,66.2186,66.2186,66.2186
0.0099,0.01,0.1,1,1.2,0.99515346380932,0.31469515670434,0.099515346380932,66.8943,66.8943,66.8943,0.99515346380932,0.31469515670434,0.099515346380932,66.8943,66.8943,66.8943,66.8943,66.8943,66.8943,66.8943
0.01,0.01,0.1,1,1.2,1.00016686311456,0.316280532766785,0.100016686311456,67.57,67.57,67.57,1.00016686311456,0.316280532766785,0.100016686311456,67.57,67.57,67.57,67.57,67.57,67.57,67.57
0.0101,0.01,0.1,1,1.2,1.00515525746679,0.317858001568804,0.100515525746679,68.2457,68.2457,68.2457,1.00515525746679,0.317858001568804,0.100515525746679,68.2457,68.2457,68.2457,68.2457,68.2457,68.2457,68.2457
0.0102,0.01,0.1,1,1.2,1.01011901732116,0.319427680258593,0.101011901732116,68.9214,68.9214,68.9214,1.01011901732116,0.319427680258593,0.101011901732116,68.9214,68.9214,68.9214,68.9214,68.9214,68.9214,68.9214
