"time","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i"
0.05545,220.116782370741,-22.4728259379717
0.0555,221.678188149822,-26.2585685320113
0.05555,223.184898215819,-30.0378322182874
0.0556,224.636540813681,-33.8096845196184
0.05565,226.032757572753,-37.5731947818211
0.0557,227.373204163495,-41.3274344227073
0.05575,228.657549957941,-45.0714771488104
0.0558,229.885477753394,-48.8043991457454
0.05585,231.056684755204,-52.5252793882826
0.0559,232.170882073156,-56.2331998168766
0.05595,233.227794686257,-59.9272455414728
0.056,234.227161737544,-63.6065051007905
0.05605,235.16873679905,-67.2700707172877
0.0561,236.05228758934,-70.9170384679521
0.05615,236.877595854032,-74.546508468754
0.0562,237.644458143132,-78.1575852401361
0.05625,238.352685353739,-81.7493778292687
0.0563,239.002102474109,-85.3209999487824
0.05635,239.592549378301,-88.871570382244
0.0564,240.123880494744,-92.4002131108933
0.05645,240.595964658545,-95.9060574747193
0.0565,241.008685249025,-99.388238417842
0.05655,241.361940603138,-102.84589681698
0.0566,241.655643632232,-106.278179570849
0.05665,241.88972157458,-109.684239713622
0.0567,242.064116867802,-113.06323691894
0.05675,242.178786588035,-116.414337510476
0.0568,242.233702229956,-119.736714571059
0.05685,242.228850274734,-123.029548366844
0.0569,242.164232054541,-126.292026496327
0.05695,242.039863488946,-129.523343980917
0.057,241.855775068531,-132.722703456278
0.05705,241.612012396699,-135.88931561027
0.0571,241.308635719764,-139.022399177232
0.05715,240.945719564481,-142.121180957697
0.0572,240.523353671685,-145.1848964701
0.05725,240.041642353389,-148.212789840523
0.0573,239.50070430948,-151.204113899208
0.05735,238.900672966813,-154.158130560517
0.0574,238.241696526145,-157.074111048316
0.05745,237.523937595858,-159.951335896672
0.0575,236.747573033012,-162.78909505613
0.05755,235.912794582351,-165.586688462386
0.0576,235.019808330589,-168.343425923637
0.05765,234.068834285777,-171.058627055386
0.0577,233.060107258002,-173.731622030178
0.05775,231.993876234402,-176.361751391579
0.0578,230.870404191384,-178.948366127229
0.05785,229.689968225112,-181.490827959928
0.0579,228.45285975268,-183.988509686327
0.05795,227.159384061921,-186.440795076022
0.058,225.809860029323,-188.847078871492
0.05805,224.404620817225,-191.206767494361
0.0581,222.944013254035,-193.519278807839
0.05815,221.428397476688,-195.784042045666
0.0582,219.858147522264,-198.000498474976
0.05825,218.233650942358,-200.168101310574
0.0583,216.555308506525,-202.286315687084
0.05835,214.823534168552,-204.354618843072
0.0584,213.038755382817,-206.372500592958
0.05845,211.20141259282,-208.339463120181
0.0585,209.311958851379,-210.255020859158
0.05855,207.370860532619,-212.118701332673
0.0586,205.378596667429,-213.930044791689
0.05865,203.33565864226,-215.688604152243
0.0587,201.242550527579,-217.393945522736
0.05875,199.099788891639,-219.045648254904
0.0588,196.907902419411,-220.64330480606
0.05885,194.667431742041,-222.186520797706
0.0589,192.378929822437,-223.674915624509
0.05895,190.042961407347,-225.108122144058
0.059,187.660102579158,-226.485786438235
0.05905,185.230941438191,-227.807568763731
0.0591,182.756077423623,-229.073143078746
0.05915,180.236121058594,-230.282196996257
0.0592,177.671694053144,-231.434432143938
0.05925,175.063429267442,-232.529564368719
0.0593,172.411970273631,-233.567323488339
0.05935,169.717971081153,-234.547453216788
0.0594,166.982096542523,-235.469711899907
0.05945,164.205021781698,-236.333872094172
0.0595,161.387431772088,-237.139720293011
0.05955,158.530021819783,-237.88705780309
0.0596,155.633497026122,-238.575700333359
0.05965,152.698572003665,-239.205477888159
0.0597,149.725970812095,-239.776234960099
0.05975,146.716427015471,-240.2878308874
0.0598,143.67068321574,-240.740139501242
0.05985,140.589490709458,-241.133048920268
0.0599,137.473609865219,-241.46646239039
0.05995,134.323809550095,-241.740297754301
0.06,131.140866779098,-241.954487213223
0.06005,127.925566933187,-242.108977978618
0.0601,124.678703418614,-242.203732059671
0.06015,121.401077326849,-242.238726037331
0.0602,118.093497256718,-242.213951100759
0.06025,114.756779408971,-242.129413541456
0.0603,111.391747119826,-241.985134308967
0.06035,107.999230485227,-241.781148685216
0.0604,104.580066665043,-241.517507196847
0.06045,101.135099339255,-241.194274995573
0.0605,97.6651784126434,-240.811531657599
0.06055,94.1711600275826,-240.369371603639
0.0606,90.6539063522,-239.867904076465
0.06065,87.1142852173562,-239.307252807187
0.0607,83.553169867698,-238.687555903873
0.06075,79.9714390393932,-238.008966454266
0.0608,76.3699765201468,-237.271652007126
0.06085,72.7496707757475,-236.475794144095
0.0609,69.1114151424351,-235.621589426615
0.06095,65.4561073408582,-234.709248711337
0.061,61.7846492195532,-233.738996984768
0.06105,58.0979466249752,-232.711073560218
0.0611,54.3969092517546,-231.625732221205
0.06115,50.6824502881736,-230.483240797299
0.0612,46.9554861377825,-229.283880922226
0.06125,43.2169364319061,-228.027948708074
0.0613,39.4677236326227,-226.715754147861
0.06135,35.7087727274264,-225.347620732751
0.0614,31.9410112110431,-223.923886142369
0.06145,28.1653687487867,-222.444901771807
0.0615,24.3827769091024,-220.911032470388
0.06155,20.5941689590595,-219.322656562239
0.0616,16.8004797151602,-217.680166119257
0.06165,13.0026452255765,-215.98396646825
0.0617,9.20160250088077,-214.234475842449
0.06175,5.39828942124524,-212.432126084696
0.0618,1.59364440964391,-210.57736199598
0.06185,-2.21139381823186,-208.670641012458
0.0619,-6.01588642334049,-206.712433621064
0.06195,-9.81889469297019,-204.70322310188
0.062,-13.6194802927512,-202.643505174029
0.06205,-17.4167054964575,-200.533787869375
0.0621,-21.20963338782,-198.374591890607
0.06215,-24.9973281176246,-196.16645007409
0.0622,-28.7788551300873,-193.909906963296
0.06225,-32.5532813909132,-191.605519496363
0.0623,-36.3196756210963,-189.253856330836
0.06235,-40.077108511102,-186.855497571277
0.0624,-43.8246529696563,-184.411034944889
0.06245,-47.5613843569863,-181.921071711598
0.0625,-51.2863806913815,-179.38622224388
0.06255,-54.9987228618594,-176.80711178509
0.0626,-58.6974949250523,-174.184376843988
0.06265,-62.3817842820221,-171.518664634334
0.0627,-66.0506818384168,-168.810632623551
0.06275,-69.7032823776792,-166.060949116399
0.0628,-73.3386846947068,-163.270292630539
0.06285,-76.9559917863018,-160.439351640716
0.0629,-80.5543111157554,-157.568824562897
0.06295,-84.132754888622,-154.659419777523
0.063,-87.6904401895683,-151.711855171944
0.06305,-91.2264891421791,-148.726857818478
0.0631,-94.7400293311312,-145.705164356135
0.06315,-98.2301938767841,-142.647520417931
0.0632,-101.696121552432,-139.554680256823
