"time","SourceP1.ports[1].m_flow","SourceP1.ports[1].p","SourceP1.ports[1].h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","SinkP1.ports[1].m_flow","SinkP1.ports[1].p","SinkP1.ports[1].h_outflow","Opening.y","downstreamPressure.y"
0.123422,-0.193628751775093,1000000,3264385.32408016,-0.193628751775093,674492.237545844,3264385.32408016,1,0.193628751775093,674492.237545844,3269545.12670069,1,674492.237545844
0.123624,-0.193711756618973,1000000,3264385.32408016,-0.193711756618973,673864.658449549,3264385.32408016,1,0.193711756618973,673864.658449549,3269555.02948052,1,673864.658449549
0.123826,-0.193794398482756,1000000,3264385.32408016,-0.193794398482756,673236.960366365,3264385.32408016,1,0.193794398482756,673236.960366365,3269564.93396538,1,673236.960366365
0.124028,-0.19387667782295,1000000,3264385.32408016,-0.19387667782295,672609.144307436,3264385.32408016,1,0.19387667782295,672609.144307436,3269574.84013923,1,672609.144307436
0.12423,-0.193958595095762,1000000,3264385.32408016,-0.193958595095762,671981.211284097,3264385.32408016,1,0.193958595095762,671981.211284097,3269584.74798602,1,671981.211284097
0.124432,-0.1940401507571,1000000,3264385.32408016,-0.1940401507571,671353.16230787,3264385.32408016,1,0.1940401507571,671353.16230787,3269594.6574897,1,671353.16230787
0.124634,-0.194121345262584,1000000,3264385.32408016,-0.194121345262584,670724.998390466,3264385.32408016,1,0.194121345262584,670724.998390466,3269604.56863424,1,670724.998390466
0.124836,-0.194202179067548,1000000,3264385.32408016,-0.194202179067548,670096.720543778,3264385.32408016,1,0.194202179067548,670096.720543778,3269614.48140358,1,670096.720543778
0.125038,-0.194282652627048,1000000,3264385.32408016,-0.194282652627048,669468.329779887,3264385.32408016,1,0.194282652627048,669468.329779887,3269624.39578167,1,669468.329779887
0.12524,-0.194362766395867,1000000,3264385.32408016,-0.194362766395867,668839.827111051,3264385.32408016,1,0.194362766395867,668839.827111051,3269634.31175246,1,668839.827111051
0.125442,-0.194442520828519,1000000,3264385.32408016,-0.194442520828519,668211.213549712,3264385.32408016,1,0.194442520828519,668211.213549712,3269644.2292999,1,668211.213549712
0.125644,-0.194521916379257,1000000,3264385.32408016,-0.194521916379257,667582.490108488,3264385.32408016,1,0.194521916379257,667582.490108488,3269654.14840793,1,667582.490108488
0.125846,-0.19460095350208,1000000,3264385.32408016,-0.19460095350208,666953.657800176,3264385.32408016,1,0.19460095350208,666953.657800176,3269664.06906049,1,666953.657800176
0.126048,-0.194679632650733,1000000,3264385.32408016,-0.194679632650733,666324.717637748,3264385.32408016,1,0.194679632650733,666324.717637748,3269673.99124152,1,666324.717637748
0.12625,-0.194757954278718,1000000,3264385.32408016,-0.194757954278718,665695.670634348,3264385.32408016,1,0.194757954278718,665695.670634348,3269683.91493497,1,665695.670634348
0.126452,-0.194835918839296,1000000,3264385.32408016,-0.194835918839296,665066.517803295,3264385.32408016,1,0.194835918839296,665066.517803295,3269693.84012477,1,665066.517803295
0.126654,-0.194913526785494,1000000,3264385.32408016,-0.194913526785494,664437.260158076,3264385.32408016,1,0.194913526785494,664437.260158076,3269703.76679485,1,664437.260158076
0.126856,-0.194990778570109,1000000,3264385.32408016,-0.194990778570109,663807.898712348,3264385.32408016,1,0.194990778570109,663807.898712348,3269713.69492916,1,663807.898712348
0.127058,-0.195067674645715,1000000,3264385.32408016,-0.195067674645715,663178.434479935,3264385.32408016,1,0.195067674645715,663178.434479935,3269723.62451162,1,663178.434479935
0.12726,-0.195144215464667,1000000,3264385.32408016,-0.195144215464667,662548.868474826,3264385.32408016,1,0.195144215464667,662548.868474826,3269733.55552616,1,662548.868474826
0.127462,-0.195220401479107,1000000,3264385.32408016,-0.195220401479107,661919.201711175,3264385.32408016,1,0.195220401479107,661919.201711175,3269743.48795673,1,661919.201711175
0.127664,-0.195296233140967,1000000,3264385.32408016,-0.195296233140967,661289.435203298,3264385.32408016,1,0.195296233140967,661289.435203298,3269753.42178724,1,661289.435203298
0.127866,-0.195371710901978,1000000,3264385.32408016,-0.195371710901978,660659.569965671,3264385.32408016,1,0.195371710901978,660659.569965671,3269763.35700162,1,660659.569965671
0.128068,-0.195446835213671,1000000,3264385.32408016,-0.195446835213671,660029.60701293,3264385.32408016,1,0.195446835213671,660029.60701293,3269773.2935838,1,660029.60701293
0.12827,-0.195521606527384,1000000,3264385.32408016,-0.195521606527384,659399.547359867,3264385.32408016,1,0.195521606527384,659399.547359867,3269783.2315177,1,659399.547359867
